ticker,name,exchange,currency,price,market_cap_usd,dollar_volume_usd,first_trade,fifty_two_week_high,pulled,source
CPA,"Copa Holdings, S.A.",NYQ,USD,129.41,5282441728.0,38743413.0,2005-12-15,160.47,2026-09-04,Yahoo Finance screener via yfinance
WH,"Wyndham Hotels & Resorts, Inc.",NYQ,USD,70.99,5268247040.0,96077511.0,2018-05-21,90.35,2026-09-04,Yahoo Finance screener via yfinance
FND,"Floor & Decor Holdings, Inc.",NYQ,USD,49.38,5258474496.0,125604696.0,2017-04-27,92.405,2026-09-04,Yahoo Finance screener via yfinance
CNO,"CNO Financial Group, Inc.",NYQ,USD,56.72,5247812096.0,45109473.0,2003-09-10,57.59,2026-09-04,Yahoo Finance screener via yfinance
WFG,West Fraser Timber Co. Ltd.,NYQ,USD,67.01,5247139328.0,14873138.0,2009-02-13,76.99,2026-09-04,Yahoo Finance screener via yfinance
PRM,"Perimeter Solutions, Inc.",NYQ,USD,32.05,5246166016.0,52069904.0,2021-11-09,38.17,2026-09-04,Yahoo Finance screener via yfinance
SON,Sonoco Products Company,NYQ,USD,52.69,5209723392.0,59691816.0,1980-03-17,60.67,2026-09-04,Yahoo Finance screener via yfinance
OUT,OUTFRONT Media Inc.,NYQ,USD,29.4,5178376192.0,52876488.0,2014-03-28,34.96,2026-09-04,Yahoo Finance screener via yfinance
VFC,V.F. Corporation,NYQ,USD,13.14,5165788160.0,93335483.0,1980-03-17,22.27,2026-09-04,Yahoo Finance screener via yfinance
OII,"Oceaneering International, Inc.",NYQ,USD,51.78,5153645056.0,55597584.0,1975-10-31,54.25,2026-09-04,Yahoo Finance screener via yfinance
CIGI,Colliers International Group Inc.,NMS,USD,100.79,5150754304.0,21997720.0,1995-01-20,171.51,2026-09-04,Yahoo Finance screener via yfinance
ALM,Almonty Industries Inc.,NCM,USD,17.84,5146496512.0,118553775.0,2013-06-17,24.41,2026-09-04,Yahoo Finance screener via yfinance
SPHR,Sphere Entertainment Co.,NYQ,USD,143.0,5135645696.0,104762372.0,2020-04-09,181.63,2026-09-04,Yahoo Finance screener via yfinance
MC,Moelis & Company,NYQ,USD,69.14,5121953280.0,62863609.0,2014-04-16,78.216,2026-09-04,Yahoo Finance screener via yfinance
HASI,"HA Sustainable Infrastructure Capital, Inc.",NYQ,USD,39.84,5119272448.0,41496507.0,2013-04-18,44.13,2026-09-04,Yahoo Finance screener via yfinance
DFTX,"Definium Therapeutics, Inc.",NMS,USD,38.0,5105944064.0,112349470.0,2016-11-15,49.7,2026-09-04,Yahoo Finance screener via yfinance
GTX,Garrett Motion Inc.,NMS,USD,27.33,5096864768.0,71661720.0,2018-09-17,36.25,2026-09-04,Yahoo Finance screener via yfinance
MRCY,"Mercury Systems, Inc.",NMS,USD,84.71,5094131712.0,63020767.0,1998-01-30,128.45,2026-09-04,Yahoo Finance screener via yfinance
MIDD,The Middleby Corporation,NMS,USD,112.4,5082992128.0,79299661.0,1987-08-10,148.55,2026-09-04,Yahoo Finance screener via yfinance
RGTI,"Rigetti Computing, Inc.",NCM,USD,15.18,5066609664.0,369614283.0,2021-04-22,58.15,2026-09-04,Yahoo Finance screener via yfinance
INSW,"International Seaways, Inc.",NYQ,USD,102.24,5064081408.0,57185286.0,2016-11-16,102.96,2026-09-04,Yahoo Finance screener via yfinance
BMA,Banco Macro S.A.,NYQ,USD,79.18,5062692352.0,23074794.0,2006-03-27,106.15,2026-09-04,Yahoo Finance screener via yfinance
OGS,"ONE Gas, Inc.",NYQ,USD,80.54,5062444032.0,47850586.0,2014-01-16,90.78,2026-09-04,Yahoo Finance screener via yfinance
AIR,AAR Corp.,NYQ,USD,125.66,5058926080.0,56650418.0,1980-03-17,154.0,2026-09-04,Yahoo Finance screener via yfinance
GOLF,Acushnet Holdings Corp.,NYQ,USD,86.59,5057292800.0,32854930.0,2016-10-28,119.65,2026-09-04,Yahoo Finance screener via yfinance
EBC,"Eastern Bankshares, Inc.",NMS,USD,22.08,5045535232.0,72180293.0,2020-10-15,23.775,2026-09-04,Yahoo Finance screener via yfinance
WTM,"White Mountains Insurance Group, Ltd.",NYQ,USD,2112.23,5041303552.0,42079846.0,1985-10-23,2333.0,2026-09-04,Yahoo Finance screener via yfinance
FBIN,"Fortune Brands Innovations, Inc.",NYQ,USD,42.21,5035375104.0,109103648.0,2011-09-16,64.84,2026-09-04,Yahoo Finance screener via yfinance
MTRN,Materion Corporation,NYQ,USD,240.56,5011760640.0,90872262.0,1980-03-17,304.58,2026-09-04,Yahoo Finance screener via yfinance
WHD,"Cactus, Inc.",NYQ,USD,71.64,4995684352.0,57121939.0,2018-02-08,74.07,2026-09-04,Yahoo Finance screener via yfinance
DAVE,Dave Inc.,NGM,USD,390.86,4985617408.0,198819538.0,2021-04-26,458.25,2026-09-04,Yahoo Finance screener via yfinance
SLM,SLM Corporation,NMS,USD,26.49,4980120064.0,71776960.0,1983-09-23,32.02,2026-09-04,Yahoo Finance screener via yfinance
CSW,"CSW Industrials, Inc.",NYQ,USD,305.57,4978801152.0,45973006.0,2015-09-30,355.483,2026-09-04,Yahoo Finance screener via yfinance
IRDM,Iridium Communications Inc.,NMS,USD,46.95,4975834112.0,96593287.0,2008-03-20,57.18,2026-09-04,Yahoo Finance screener via yfinance
UNF,UniFirst Corporation,NYQ,USD,275.1,4974956032.0,55026052.0,1984-01-16,306.67,2026-09-04,Yahoo Finance screener via yfinance
CE,Celanese Corporation,NYQ,USD,45.2,4960651776.0,79093130.0,2005-01-21,70.7,2026-09-04,Yahoo Finance screener via yfinance
GBTG,"Global Business Travel Group, Inc.",NYQ,USD,9.49,4957323776.0,19402817.0,2022-08-18,9.54,2026-09-04,Yahoo Finance screener via yfinance
LAUR,"Laureate Education, Inc.",NMS,USD,35.95,4952089600.0,41792414.0,2017-02-01,40.925,2026-09-04,Yahoo Finance screener via yfinance
PSN,Parsons Corporation,NYQ,USD,46.35,4950429696.0,62574957.0,2019-05-08,89.5,2026-09-04,Yahoo Finance screener via yfinance
BOX,"Box, Inc.",NYQ,USD,35.96,4933739520.0,99056603.0,2015-01-23,36.34,2026-09-04,Yahoo Finance screener via yfinance
SR,Spire Inc.,NYQ,USD,83.33,4925870592.0,46983621.0,1973-02-21,95.31,2026-09-04,Yahoo Finance screener via yfinance
TFSL,TFS Financial Corporation,NMS,USD,17.5,4907748352.0,15907378.0,2007-04-23,19.49,2026-09-04,Yahoo Finance screener via yfinance
LFST,"LifeStance Health Group, Inc.",NMS,USD,12.83,4901773312.0,49396629.0,2021-06-10,13.15,2026-09-04,Yahoo Finance screener via yfinance
CAR,"Avis Budget Group, Inc.",NMS,USD,138.51,4892969472.0,72571345.0,1983-09-14,847.7,2026-09-04,Yahoo Finance screener via yfinance
EIF.TO,Exchange Income Corporation,TOR,CAD,119.18,4872933927.0,13475159.0,2004-05-10,136.75,2026-09-04,Yahoo Finance screener via yfinance
RDN,Radian Group Inc.,NYQ,USD,36.81,4870011904.0,44485179.0,1992-10-30,41.05,2026-09-04,Yahoo Finance screener via yfinance
MTN,"Vail Resorts, Inc.",NYQ,USD,136.06,4848297984.0,98812759.0,1997-02-04,163.34,2026-09-04,Yahoo Finance screener via yfinance
CNR,"Core Natural Resources, Inc.",NYQ,USD,97.43,4836060672.0,58107349.0,2017-11-14,114.8,2026-09-04,Yahoo Finance screener via yfinance
ACMR,"ACM Research, Inc.",NGM,USD,69.42,4835047424.0,90964983.0,2017-11-02,127.19,2026-09-04,Yahoo Finance screener via yfinance
GEF,"Greif, Inc.",NYQ,USD,85.02,4833230336.0,22305932.0,1996-02-28,90.57,2026-09-04,Yahoo Finance screener via yfinance
DOCS,"Doximity, Inc.",NYQ,USD,27.1,4830466048.0,126739410.0,2021-06-24,76.51,2026-09-04,Yahoo Finance screener via yfinance
CUZ,Cousins Properties Incorporated,NYQ,USD,29.25,4815341568.0,47546518.0,1980-03-17,32.95,2026-09-04,Yahoo Finance screener via yfinance
GNTX,Gentex Corporation,NMS,USD,22.84,4812007424.0,59891596.0,1981-12-22,29.38,2026-09-04,Yahoo Finance screener via yfinance
ACAD,ACADIA Pharmaceuticals Inc.,NMS,USD,27.86,4800432128.0,45337609.0,2004-05-27,30.96,2026-09-04,Yahoo Finance screener via yfinance
ENPH,"Enphase Energy, Inc.",NGM,USD,36.31,4798172160.0,195438684.0,2012-03-30,73.74,2026-09-04,Yahoo Finance screener via yfinance
PTEN,"Patterson-UTI Energy, Inc.",NMS,USD,12.55,4786380288.0,114986601.0,1993-11-02,13.31,2026-09-04,Yahoo Finance screener via yfinance
ATAT,Atour Lifestyle Holdings Limited,NMS,USD,34.62,4783997440.0,32416437.0,2022-11-11,43.173,2026-09-04,Yahoo Finance screener via yfinance
FFIN,"First Financial Bankshares, Inc.",NMS,USD,33.34,4778539008.0,28706040.0,1993-11-01,37.83,2026-09-04,Yahoo Finance screener via yfinance
GHC,Graham Holdings Company,NYQ,USD,1122.91,4755443200.0,28369198.0,1973-02-21,1262.35,2026-09-04,Yahoo Finance screener via yfinance
