ticker,close,date
GGG,76.83,2026-09-21
GH,174.695,2026-09-21
GHC,1148.175,2026-09-21
GIB,69.49,2026-09-21
GIL,46.24,2026-09-21
GILD,151.06,2026-09-21
GIS,36.215,2026-09-21
GKOS,162.0,2026-09-21
GLBE,39.26,2026-09-21
GLNG,51.0,2026-09-21
GLPI,39.92,2026-09-21
GLW,159.59,2026-09-21
GM,84.14,2026-09-21
GMAB,34.66,2026-09-21
GME,23.025,2026-09-21
GMED,74.27,2026-09-21
GNL,8.875,2026-09-21
GNRC,205.935,2026-09-21
GNTX,22.435,2026-09-21
GOLF,82.3425,2026-09-21
GOOGL,356.245,2026-09-21
GPC,127.6601,2026-09-21
GPGI,12.47,2026-09-21
GPI,254.655,2026-09-21
GPK,9.515,2026-09-21
GPN,84.91,2026-09-21
GPOR,155.275,2026-09-21
GRAB,2.835,2026-09-21
GRBK,67.39,2026-09-21
GRMN,278.735,2026-09-21
GRND,15.855,2026-09-21
GSAT,83.0,2026-09-21
GSK,51.03,2026-09-21
GTES,25.75,2026-09-21
GTLB,49.505,2026-09-21
GTX,26.59,2026-09-21
GTY,29.77,2026-09-21
GVA,116.86,2026-09-21
GWRE,150.14,2026-09-21
GWW,1271.8,2026-09-21
GXO,45.38,2026-09-21
H,157.75,2026-09-21
H.TO,51.6,2026-09-21
HAE,108.795,2026-09-21
HAL,33.235,2026-09-21
HALO,111.98,2026-09-21
HAS,87.84,2026-09-21
HAYW,12.905,2026-09-21
HBM,26.445,2026-09-21
HCA,429.46,2026-09-21
HCC,89.2475,2026-09-21
HD,298.695,2026-09-21
HEI,303.18,2026-09-21
HESM,39.72,2026-09-21
HGV,35.325,2026-09-21
HHH,64.85,2026-09-21
HII,276.2825,2026-09-21
HIMS,28.915,2026-09-21
HIMX,14.4,2026-09-21
HIW,30.85,2026-09-21
HL,18.36,2026-09-21
HLIO,68.35,2026-09-21
HLN,9.305,2026-09-21
HLT,306.365,2026-09-21
HMC,32.5817,2026-09-21
HMY,19.13,2026-09-21
HNI,45.58,2026-09-21
HOG,26.135,2026-09-21
HON,206.71,2026-09-21
HP,40.03,2026-09-21
HPE,61.17,2026-09-21
HPQ,33.125,2026-09-21
HQY,94.835,2026-09-21
HR,18.245,2026-09-21
HRB,44.49,2026-09-21
HRI,138.78,2026-09-21
HRL,20.745,2026-09-21
HRMY,41.88,2026-09-21
HSIC,85.4288,2026-09-21
HST,21.925,2026-09-21
HSY,168.33,2026-09-21
HTO,63.07,2026-09-21
HUBB,453.83,2026-09-21
HUBG,32.07,2026-09-21
HUBS,213.755,2026-09-21
HUM,378.65,2026-09-21
HURN,158.245,2026-09-21
HWKN,123.985,2026-09-21
HXL,87.03,2026-09-21
IAG,20.135,2026-09-21
IBM,229.75,2026-09-21
IBP,201.995,2026-09-21
IBRX,8.33,2026-09-21
ICLR,167.48,2026-09-21
ICUI,155.3,2026-09-21
IDA,131.49,2026-09-21
IDCC,327.51,2026-09-21
IDXX,515.76,2026-09-21
IDYA,38.57,2026-09-21
IESC,325.93,2026-09-21
IEX,224.7975,2026-09-21
IFF,83.78,2026-09-21
IHG,154.5,2026-09-21
IHS,8.435,2026-09-21
ILMN,242.2925,2026-09-21
IMAX,53.76,2026-09-21
IMNM,24.4301,2026-09-21
IMO.TO,177.36,2026-09-21
INCY,125.945,2026-09-21
INDV,35.275,2026-09-21
INFY,10.9114,2026-09-21
INGR,97.48,2026-09-21
INSM,123.32,2026-09-21
INSW,109.04,2026-09-21
INTA,36.56,2026-09-21
INTC,123.0411,2026-09-21
INTU,302.75,2026-09-21
INVH,27.265,2026-09-21
INVX,27.59,2026-09-21
IONQ,40.47,2026-09-21
IONS,44.82,2026-09-21
IOSP,92.86,2026-09-21
IOT,38.33,2026-09-21
IOVA,10.295,2026-09-21
IP,35.67,2026-09-21
IPAR,112.5,2026-09-21
IPGP,78.32,2026-09-21
IQV,268.64,2026-09-21
IR,72.55,2026-09-21
IRDM,47.9202,2026-09-21
IRM,115.94,2026-09-21
IRT,14.8,2026-09-21
IRTC,111.22,2026-09-21
ISRG,398.74,2026-09-21
IT,185.585,2026-09-21
ITGR,126.425,2026-09-21
ITRI,92.31,2026-09-21
ITW,268.375,2026-09-21
IVT,30.765,2026-09-21
IWM,286.05,2026-09-21
J,143.23,2026-09-21
JAZZ,241.79,2026-09-21
JBHT,234.06,2026-09-21
JBL,301.24,2026-09-21
JBTM,110.635,2026-09-21
JCI,145.71,2026-09-21
JHX,26.295,2026-09-21
JKHY,153.06,2026-09-21
JLL,340.25,2026-09-21
JNJ,271.28,2026-09-21
JOBY,6.47,2026-09-21
JOE,64.36,2026-09-21
JOYY,78.88,2026-09-21
KAI,268.795,2026-09-21
KALU,152.61,2026-09-21
KBH,47.985,2026-09-21
KBR,35.77,2026-09-21
KD,12.265,2026-09-21
KDP,30.83,2026-09-21
KEEL,4.07,2026-09-21
KEP,11.245,2026-09-21
KEX,136.375,2026-09-21
KEYS,340.625,2026-09-21
KFY,76.58,2026-09-21
KGC,27.665,2026-09-21
KGS,57.01,2026-09-21
KHC,24.445,2026-09-21
KIM,22.47,2026-09-21
KLAC,183.115,2026-09-21
KLIC,83.565,2026-09-21
KMB,98.135,2026-09-21
KMI,31.775,2026-09-21
KMT,29.75,2026-09-21
KMX,58.46,2026-09-21
KN,36.035,2026-09-21
KNF,55.0,2026-09-21
KNSA,78.56,2026-09-21
